SiteId,Exclusive,OverlapId1,OverlapPercent1,OverlapId2,OverlapPercent2,OverlapId3,OverlapPercent3,OverlapId4,OverlapPercent4
4,23.1,1623,3.0,2825,3.0,1265,3.3,4059,7.9
33,54.6,3355,10.5,8766,4.9,1425,5.2,2148,9.0
51,31.3,2578,4.6,57,3.8,12612,5.4,1908,7.9
57,15.9,894,18.7,1338,17.5,1265,7.1,1288,8.5
117,56.5,33,8.9,2148,1.9,8766,4.1,1721,2.9
151,27.1,57,8.6,3924,6.2,1265,6.2,5728,6.2
164,42.7,4861,3.9,1321,4.9,3659,5.3,11655,3.9
170,22.3,57,10.4,894,8.1,1288,8.5,1721,9.0
614,20.0,57,23.6,1338,14.2,1265,13.5,170,9.8
894,21.3,57,28.0,1338,11.0,1265,8.2,1288,9.1
1265,31.0,57,11.0,894,8.5,1288,8.2,1338,7.8
1269,26.2,3355,7.8,33,6.3,57,13.1,2148,7.3
1288,22.0,57,14.9,894,10.6,1338,12.4,1265,9.2
1321,32.9,4260,4.2,57,4.2,1338,5.1,170,5.6
1338,18.4,2825,18.7,57,22.0,894,9.2,1288,9.0
1369,31.8,6591,5.7,4861,5.7,1288,5.7,170,5.7
1425,73.5,33,5.8,57,3.4,1288,1.9,1265,2.1
1500,47.2,57,11.3,894,8.2,3924,3.9,1265,3.9
1618,39.4,30763,3.5,5169,8.8,117,8.8,16617,3.5
1619,45.3,57,5.3,1321,3.6,1288,5.8,1721,3.6
1623,22.0,2208,4.9,4451,6.3,1269,4.9,4059,4.9
1691,41.6,33,3.1,15811,2.7,2651,5.3,28815,3.1
1721,21.8,1338,6.8,57,7.7,1288,10.0,170,8.6
1817,43.5,57,2.8,1619,2.8,2578,3.3,11655,18.2
1908,32.6,3355,8.6,2651,5.2,12612,3.9,2148,8.6
1924,38.3,4260,5.5,2825,4.3,5728,4.3,4451,4.3
2148,37.0,33,14.1,3355,13.8,8766,12.5,7716,5.9
2149,26.8,3355,4.9,12502,3.9,16617,5.9,2578,7.3
2208,59.4,1623,3.2,5220,7.8,1338,5.5,3352,3.6
2241,15.0,4260,1.4,30887,1.4,57,2.0,4296,1.4
2305,37.4,1721,4.4,894,3.9,1288,4.9,170,7.3
2578,29.2,5169,3.0,4861,3.0,6673,3.8,2149,6.4
2651,29.6,5728,4.3,3352,4.7
2732,72.5,4451,2.6,12612,5.3,2578,2.6,1288,1.6
2825,54.0,3355,3.7,57,4.2,894,4.1,1338,12.9
2978,68.5,1500,2.6,894,2.0,3924,2.0,1619,2.0
3303,33.6,30887,4.5,57,3.2,4,2.7,31538,3.2
3352,16.8,4570,6.7,57,6.3,2651,5.8,3924,6.3
3355,13.5,33,22.6,8766,14.2,1338,8.0,2148,19.0
3425,41.4,57,3.3,894,2.9,4,2.9,27135,3.8
3659,33.8,4260,3.5,1321,3.5,4296,3.0,27135,5.0
3698,27.6,31538,4.1,4451,4.1,25906,3.7,5169,3.7
3924,51.4,5728,3.6,8766,3.4,2148,3.0,7716,9.0
4059,26.0,1623,4.5,3355,3.1,4,10.8,1338,4.0
4260,18.2,8431,6.8,57,5.9,1924,5.5,10947,6.4
4296,16.0,7080,8.6,57,6.2,10947,5.3,6591,4.5
4451,12.7,1623,6.4,1924,4.9,12612,5.9,1338,4.9
4470,40.1,7080,3.2,4296,2.8,18413,2.8,27135,3.7
4570,22.7,4260,5.7,11464,12.3,57,6.6,3352,6.6
4861,25.6,170,4.0,894,4.9,10947,4.5,1369,5.4
4964,34.2,12502,18.8,7551,4.5,16617,3.0,1908,3.5
5022,38.4,1924,3.7,2978,2.9,40377,5.0,2825,3.3
5169,27.8,25906,4.7,6388,4.7,11655,3.8,1369,4.7
5220,26.9,2208,11.5,1269,4.3,57,5.8,1338,7.7
5728,22.1,151,5.5,57,7.2,894,6.4,3924,7.2
6243,42.0,1924,4.3,1721,4.3
6320,31.2,4260,3.7,1321,4.2,4,17.2,4059,15.3
6388,43.9,5169,4.7,36960,9.3,7526,4.7,6673,3.3
6426,18.9,3698,8.0,5169,6.1,4451,4.2,2578,6.6
6433,64.1,170,2.0,1321,1.7,11655,1.7,1369,2.7
6591,28.7,4260,3.3,57,4.8,4296,5.3,1369,5.7
6607,28.6,3355,6.3,33,5.9,8766,7.5,4570,5.9
6673,36.3,18413,4.9,14456,5.3,29480,6.2,41665,5.3
7080,22.4,57,5.0,4296,8.7,1338,5.0,27135,6.2
7526,45.5,31538,4.0,18413,3.2,6388,4.0,6673,3.6
7551,32.2,10848,3.3,57,3.3,4964,4.3,35636,4.3
7716,67.8,57,2.8,1265,2.7,3924,7.0,2148,3.7
8431,49.2,4260,6.5,57,3.7,894,2.8,1338,3.7
8766,60.8,3355,7.6,33,5.7,3924,3.1,2148,9.2
10848,48.8,41168,6.8,7551,3.4,29480,3.4,41665,3.9
10919,24.4,1369,3.2,1338,3.7,6673,3.7,11655,4.1
10947,38.4,4260,7.4,11464,5.9,4296,6.4,7080,5.4
11464,37.4,4570,11.7,4260,5.4,10947,5.4,2825,3.6
11624,28.9,30887,3.9,4296,5.5,10947,3.5,6591,3.5
11655,34.6,4260,3.4,5169,3.8,1817,18.8,10919,4.3
11942,50.8,35636,2.7,7551,3.1,7526,5.8,6388,5.0
12432,77.8,1623,1.5,57,1.0,1369,0.8,46400,1.0
12502,40.4,33,4.4,4964,15.2,16617,5.2,28815,5.6
12612,49.0,4451,5.0,2578,2.9,1908,3.7,3352,3.3
14456,35.5,42810,8.1,10848,2.8,1338,2.8,6673,5.7
14922,58.6,34945,5.9,25906,2.3,7551,1.8,11655,1.8
15025,17.9,7080,4.5,15811,5.4,1321,5.8,10919,4.9
48872,67.4,42810,0.7,38732,1.0,4,0.7,41665,1.0
15811,34.4,4260,3.6,8431,3.1,2651,3.1,8766,3.1
16617,33.8,64216,5.7,12502,6.2,28815,6.2,2149,5.7
18238,39.1,2651,4.4,57,4.4,1338,6.2,3352,4.4
18413,32.4,4470,2.9,4296,2.9,7526,3.9,6673,5.4
20757,49.8,4570,2.7,4260,2.2,57,2.7,2825,2.2
22246,66.3,37041,3.7,2651,2.3,33364,2.0,40020,1.7
22435,69.7,52070,1.6,48905,1.3
23539,74.4,56447,1.1,4296,1.1,60887,1.6,58150,0.9
23848,54.9,8766,4.4,28815,4.4,1908,8.9,2148,5.5
25069,89.2,6591,0.8,57,1.3,4451,0.9,1265,0.9
25906,24.0,43283,5.8,5169,4.8,27135,3.8,41665,5.3
26434,36.1,34945,3.3,35636,4.5,28815,4.8,2149,4.1
27135,10.2,7080,6.4,4296,4.3,3659,4.3,3425,3.4
28815,30.8,3698,3.0,12502,6.0,16617,5.6,1908,3.4
28921,71.9,14456,1.3,5728,1.3
29480,32.0,10848,3.4,5169,3.0,5220,3.0,6673,6.9
30763,67.6,15811,2.4,57,2.0,1321,1.6,2578,2.4
30887,30.8,25906,3.6,3352,3.6,44686,4.1,2241,3.6
31538,40.0,3698,4.5,40377,4.0,7526,5.0,41665,3.0
33364,35.5,46400,3.8,43283,4.7,41665,4.7,40709,4.7
35636,32.4,31538,2.7,7551,4.0,8766,5.8,16617,4.9
